timestamp,"date (UTC)","NO2 (ppb)","VOC (ppb)","pm 10 (ug/m3)","pm 2.5 (ug/m3)","NO2 (Plume AQI)","VOC (Plume AQI)","pm 10 (Plume AQI)","pm 2.5 (Plume AQI)","pm 1 (ug/m3)","pm 1 (Plume AQI)"
1668446737,"2022-11-14 17:25:37",0,79,56.163136,47.082825,0,6,60,94,24,60
1668446797,"2022-11-14 17:26:37",30,77,74.99969,45.39837,32,6,92,91,22,56
1668446857,"2022-11-14 17:27:37",32,79,77.02669,45.77481,35,6,95,92,23,57
1668446917,"2022-11-14 17:28:37",31,77,101.55332,33.151093,33,6,113,66,12,31
1668446977,"2022-11-14 17:29:37",31,78,56.42046,46.92565,34,6,61,94,24,61
1668447037,"2022-11-14 17:30:37",32,78,67.28874,45.540634,35,6,79,91,22,56
1668447097,"2022-11-14 17:31:37",32,78,101.789856,39.59575,35,6,114,79,18,45
1668447157,"2022-11-14 17:32:37",32,78,54.426666,39.588486,35,6,57,79,19,49
1668447217,"2022-11-14 17:33:37",32,79,37.890457,36.890457,35,6,38,74,18,46
1668447277,"2022-11-14 17:34:37",32,78,61.52907,46.49727,35,6,69,93,24,61
1668447337,"2022-11-14 17:35:37",31,78,89.4997,35.651127,34,6,106,71,14,34
1668447397,"2022-11-14 17:36:37",32,79,105.61183,37.62892,35,6,116,75,13,34
1668447457,"2022-11-14 17:37:37",0,80,75.60396,39.02295,0,6,93,78,17,44
1668447517,"2022-11-14 17:38:37",32,79,60.9636,51.89096,35,6,68,102,28,70
1668447577,"2022-11-14 17:39:37",32,77,103.222496,52.570744,35,6,115,103,25,62
1668447637,"2022-11-14 17:40:37",31,78,64.71098,45.72225,34,6,75,91,24,61
1668447697,"2022-11-14 17:41:37",31,77,75.64725,56.76328,34,6,93,107,33,82
1668447757,"2022-11-14 17:42:37",31,78,60.988335,41.528717,34,6,68,83,21,53
1668447817,"2022-11-14 17:43:37",31,77,49.681713,46.158348,34,6,50,92,25,62
1668447877,"2022-11-14 17:44:37",31,76,48.753925,44.42201,33,6,49,89,24,59
1668447937,"2022-11-14 17:45:37",31,79,43.89148,42.89148,33,6,44,86,22,55
1668447997,"2022-11-14 17:46:37",31,79,101.38648,43.302593,33,6,113,87,19,48
1668448057,"2022-11-14 17:47:37",31,76,80.064896,31.146023,33,6,100,62,10,24
1668448117,"2022-11-14 17:48:37",32,76,55.682655,43.18538,35,6,59,86,23,57
1668448177,"2022-11-14 17:49:37",31,77,86.91846,55.65789,33,6,104,106,29,73
1668448237,"2022-11-14 17:50:37",30,77,60.523285,41.021072,32,6,68,82,19,46
1668448297,"2022-11-14 17:51:37",32,77,55.396378,41.267464,35,6,59,83,21,52
1668448357,"2022-11-14 17:52:37",30,76,38.787083,32.386612,33,6,39,65,14,36
1668448417,"2022-11-14 17:53:37",31,77,62.846794,52.961483,33,6,71,103,30,74
1668448477,"2022-11-14 17:54:37",30,76,107.068596,38.196213,32,6,117,76,17,43
1668448537,"2022-11-14 17:55:37",31,78,,,34,6,0,0,,
1668448597,"2022-11-14 17:56:37",32,78,125.30096,43.907593,35,6,128,88,18,45
1668448657,"2022-11-14 17:57:37",32,78,91.22873,46.46544,35,6,107,93,22,55
1668448717,"2022-11-14 17:58:37",32,78,104.0716,41.850677,35,6,115,84,18,46
1668448777,"2022-11-14 17:59:37",33,79,71.402534,42.5478,36,6,86,85,20,50
1668448837,"2022-11-14 18:00:37",33,80,81.263336,47.467003,36,6,101,95,26,64
1668448897,"2022-11-14 18:01:37",32,78,77.29043,50.70477,35,6,95,101,28,71
1668448957,"2022-11-14 18:02:37",33,79,115.890594,42.559216,36,6,122,85,16,39
1668449017,"2022-11-14 18:03:37",32,79,78.96524,46.666862,35,6,98,93,23,58
1668449077,"2022-11-14 18:04:37",32,78,110.829315,38.060093,35,6,119,76,15,39
1668449137,"2022-11-14 18:05:37",31,79,99.326385,55.348812,34,6,112,105,31,79
1668449197,"2022-11-14 18:06:37",31,80,42.83548,41.83548,34,6,43,84,20,50
1668449257,"2022-11-14 18:07:37",32,78,57.047672,50.403492,35,6,62,100,26,66
1668449317,"2022-11-14 18:08:37",32,79,53.8672,40.81269,35,6,56,82,20,50
1668449377,"2022-11-14 18:09:37",31,77,82.51201,47.776566,34,6,102,96,24,61
1668449437,"2022-11-14 18:10:37",31,78,150.99713,39.209793,34,6,144,78,13,34
1668449497,"2022-11-14 18:11:37",31,79,106.95738,37.887928,33,6,117,76,15,36
1668449557,"2022-11-14 18:12:37",31,78,69.02906,53.996185,33,6,82,104,29,74
1668449617,"2022-11-14 18:13:37",31,79,82.397964,54.611885,33,6,101,105,31,78
1668449677,"2022-11-14 18:14:37",31,78,70.38687,49.016666,33,6,84,98,27,68
1668449737,"2022-11-14 18:15:37",32,78,67.80632,41.411354,35,6,80,83,19,47
1668449797,"2022-11-14 18:16:37",31,78,69.48082,43.85026,33,6,82,88,20,51
1668449857,"2022-11-14 18:17:37",32,77,76.997314,47.050983,35,6,95,94,23,57
1668449917,"2022-11-14 18:18:37",31,77,91.56196,60.225105,33,6,107,110,34,86
1668449977,"2022-11-14 18:19:37",30,78,83.108475,45.39665,32,6,102,91,23,58
1668450037,"2022-11-14 18:20:37",31,77,64.82657,47.81585,33,6,75,96,26,64
1668450097,"2022-11-14 18:21:37",32,78,84.52687,52.8284,35,6,103,103,27,67
1668450157,"2022-11-14 18:22:37",31,78,26.353928,25.353928,34,6,26,51,10,25
1668450217,"2022-11-14 18:23:37",31,79,53.128876,46.67118,34,6,55,93,25,63
1668450277,"2022-11-14 18:24:37",31,77,84.793365,34.17448,34,6,103,68,15,38
1668450337,"2022-11-14 18:25:37",31,79,44.85372,43.85372,34,6,45,88,22,56
1668450397,"2022-11-14 18:26:37",31,79,65.21403,46.83454,34,6,75,94,24,60
1668450457,"2022-11-14 18:27:37",31,78,63.011227,49.92209,34,6,72,100,25,62
1668450517,"2022-11-14 18:28:37",30,78,85.00292,49.269463,32,6,103,99,24,59
1668450577,"2022-11-14 18:29:37",30,79,117.81518,33.417305,32,6,124,67,10,25
1668450637,"2022-11-14 18:30:37",31,77,55.318703,54.318703,33,6,59,104,31,76
1668450697,"2022-11-14 18:31:37",31,78,49.22052,47.94148,33,6,49,96,25,63
1668450757,"2022-11-14 18:32:37",30,77,88.78377,48.17167,32,6,105,96,26,65
1668450817,"2022-11-14 18:33:37",31,77,60.014168,40.07063,33,6,67,80,20,50
1668450877,"2022-11-14 18:34:37",31,78,100.87265,51.307846,33,6,113,101,25,63
1668450937,"2022-11-14 18:35:37",30,77,39.921238,38.921238,33,6,40,78,19,47
1668450997,"2022-11-14 18:36:37",31,77,66.1095,40.328835,34,6,77,81,17,43
1668451057,"2022-11-14 18:37:37",30,77,49.941875,40.406425,33,6,50,81,20,50
1668451117,"2022-11-14 18:38:37",31,77,38.87999,35.33938,34,6,39,71,15,38
1668451177,"2022-11-14 18:39:37",31,76,55.748184,35.892006,33,6,60,72,14,36
1668451237,"2022-11-14 18:40:37",30,77,65.14569,44.69099,32,6,75,89,21,53
1668451297,"2022-11-14 18:41:37",30,77,110.021935,47.178207,32,6,119,94,21,54
1668451357,"2022-11-14 18:42:37",30,76,59.40024,50.641,33,6,66,101,29,73
1668451417,"2022-11-14 18:43:37",31,76,49.570793,42.804558,34,6,50,86,20,51
1668451477,"2022-11-14 18:44:37",32,78,135.73985,36.53308,35,6,135,73,13,32
1668451537,"2022-11-14 18:45:37",31,78,121.015495,51.50544,33,6,126,102,26,64
1668451597,"2022-11-14 18:46:37",32,78,56.653744,36.56698,35,6,61,73,16,39
1668451657,"2022-11-14 18:47:37",31,77,75.244675,48.34015,34,6,92,97,24,60
1668451717,"2022-11-14 18:48:37",30,79,48.170334,37.810093,32,6,48,76,21,53
1668451777,"2022-11-14 18:49:37",31,79,41.996033,40.996033,34,6,42,82,21,52
