timestamp,"date (UTC)","NO2 (ppb)","VOC (ppb)","pm 10 (ug/m3)","pm 2.5 (ug/m3)","NO2 (Plume AQI)","VOC (Plume AQI)","pm 10 (Plume AQI)","pm 2.5 (Plume AQI)","pm 1 (ug/m3)","pm 1 (Plume AQI)"
1668451837,"2022-11-14 18:50:37",31,80,108.391655,42.391685,34,6,118,85,16,41
1668451897,"2022-11-14 18:51:37",30,78,53.50072,52.50072,33,6,56,103,32,80
1668451957,"2022-11-14 18:52:37",31,79,110.68169,46.600395,33,6,119,93,20,51
1668452017,"2022-11-14 18:53:37",30,79,67.39786,40.67752,33,6,79,81,18,45
1668452077,"2022-11-14 18:54:37",31,78,58.209053,45.89586,33,6,64,92,24,59
1668452137,"2022-11-14 18:55:37",31,77,85.95704,41.311058,33,6,104,83,18,45
1668452197,"2022-11-14 18:56:37",32,77,101.94733,48.164482,35,6,114,96,23,58
1668452257,"2022-11-14 18:57:37",31,78,68.872505,44.911583,33,6,81,90,22,56
1668452317,"2022-11-14 18:58:37",31,77,51.191803,43.49907,33,6,52,87,23,57
1668452377,"2022-11-14 18:59:37",31,79,60.220585,51.79891,33,6,67,102,30,74
1668452437,"2022-11-14 19:00:37",31,78,94.62368,37.42159,33,6,109,75,14,36
1668452497,"2022-11-14 19:01:37",31,78,63.71309,43.612015,33,6,73,87,22,54
1668452557,"2022-11-14 19:02:37",30,78,83.93538,48.425472,33,6,102,97,23,56
1668452617,"2022-11-14 19:03:37",30,78,95.85032,46.32924,33,6,110,93,22,56
1668452677,"2022-11-14 19:04:37",31,77,43.780323,39.981987,34,6,44,80,19,48
1668452737,"2022-11-14 19:05:37",31,76,64.70175,45.14067,34,6,75,90,20,50
1668452797,"2022-11-14 19:06:37",31,77,64.66953,41.99604,33,6,74,84,19,46
1668452857,"2022-11-14 19:07:37",0,76,59.62798,51.288612,0,6,66,101,28,69
1668452917,"2022-11-14 19:08:37",30,77,81.47887,46.605217,32,6,101,93,23,58
1668452977,"2022-11-14 19:09:37",30,76,169.28809,47.056763,33,6,156,94,18,46
1668453037,"2022-11-14 19:10:37",30,77,50.38493,40.81237,33,6,51,82,20,51
1668453097,"2022-11-14 19:11:37",31,77,65.66182,43.94616,33,6,76,88,20,50
1668453157,"2022-11-14 19:12:37",31,78,60.83927,43.751442,33,6,68,88,21,53
1668453217,"2022-11-14 19:13:37",31,77,86.157104,45.29448,34,6,104,91,22,55
1668453277,"2022-11-14 19:14:37",32,79,,,35,6,0,0,,
1668453337,"2022-11-14 19:15:37",33,79,40.77652,39.10531,37,6,41,78,19,48
1668453397,"2022-11-14 19:16:37",33,79,117.26129,31.72335,36,6,123,63,11,27
1668453457,"2022-11-14 19:17:37",0,80,62.41562,39.02819,0,6,71,78,20,50
1668453517,"2022-11-14 19:18:37",33,81,70.62372,37.08567,37,6,84,74,18,46
1668453577,"2022-11-14 19:19:37",32,83,113.75574,41.173683,36,7,121,82,21,51
1668453637,"2022-11-14 19:20:37",32,84,90.00533,40.536385,36,7,106,81,20,50
1668453697,"2022-11-14 19:21:37",32,85,61.301308,39.033756,36,7,69,78,20,51
1668453757,"2022-11-14 19:22:37",32,83,126.3093,45.840477,36,7,129,92,19,48
1668453817,"2022-11-14 19:23:37",32,87,148.46729,38.48672,36,7,143,77,14,35
1668453877,"2022-11-14 19:24:37",32,86,75.391075,37.81722,36,7,92,76,17,42
1668453937,"2022-11-14 19:25:37",0,87,,,0,7,0,0,18,45
1668453998,"2022-11-14 19:26:38",32,86,85.68375,42.061737,36,7,104,84,21,53
1668454058,"2022-11-14 19:27:38",0,86,90.78873,44.172348,0,7,107,88,23,57
1668454118,"2022-11-14 19:28:38",32,86,,,36,7,0,0,,
1668454178,"2022-11-14 19:29:38",0,0,92.97501,39.924637,0,0,108,80,18,45
1668454238,"2022-11-14 19:30:38",32,86,128.77657,37.89379,36,7,130,76,13,33
1668454298,"2022-11-14 19:31:38",32,84,122.572136,49.083015,36,7,127,98,22,56
1668454358,"2022-11-14 19:32:38",32,85,72.58541,40.0774,36,7,88,80,20,50
1668454418,"2022-11-14 19:33:38",32,0,65.91249,47.76963,36,0,77,96,25,63
1668454478,"2022-11-14 19:34:38",33,85,85.35046,47.668907,37,7,103,95,23,57
1668454538,"2022-11-14 19:35:38",33,85,67.734695,46.94095,37,7,80,94,24,61
1668454598,"2022-11-14 19:36:38",32,85,136.17294,43.110336,36,7,135,86,19,46
1668454658,"2022-11-14 19:37:38",0,83,84.78726,37.981865,0,7,103,76,18,44
1668454718,"2022-11-14 19:38:38",33,84,64.90279,49.515503,37,7,75,99,28,70
1668454778,"2022-11-14 19:39:38",33,84,98.18217,58.529636,37,7,111,109,33,82
1668454838,"2022-11-14 19:40:38",33,82,102.08229,46.57263,37,7,114,93,22,55
1668454898,"2022-11-14 19:41:38",33,83,72.24517,51.081123,37,7,87,101,27,67
1668454958,"2022-11-14 19:42:38",0,83,56.12876,39.006386,0,7,60,78,18,44
1668455018,"2022-11-14 19:43:38",33,84,48.115788,46.909035,36,7,48,94,24,59
1668455078,"2022-11-14 19:44:38",33,83,46.194412,37.48429,36,7,46,75,18,44
1668455138,"2022-11-14 19:45:38",33,83,79.4498,49.45127,36,7,99,99,25,62
1668455198,"2022-11-14 19:46:38",33,83,71.621445,47.599083,36,7,86,95,23,58
1668455258,"2022-11-14 19:47:38",0,82,83.99253,56.518234,0,7,102,107,32,80
1668455318,"2022-11-14 19:48:38",32,83,54.49716,47.22732,36,7,57,94,25,62
1668455378,"2022-11-14 19:49:38",32,82,52.063347,50.60398,36,7,53,101,28,70
1668455438,"2022-11-14 19:50:38",31,83,110.30208,46.830925,34,7,119,94,21,53
1668455498,"2022-11-14 19:51:38",32,83,99.55593,54.19442,36,7,112,104,29,72
1668455558,"2022-11-14 19:52:38",32,81,100.61221,41.165516,36,6,113,82,16,41
1668455618,"2022-11-14 19:53:38",32,82,97.37561,38.598846,35,7,111,77,16,39
1668455678,"2022-11-14 19:54:38",32,82,81.92082,44.54271,35,7,101,89,21,53
1668455738,"2022-11-14 19:55:38",32,82,88.055664,43.14869,35,7,105,86,17,43
1668455798,"2022-11-14 19:56:38",32,81,61.71352,53.06588,35,6,70,103,30,75
1668455858,"2022-11-14 19:57:38",32,80,80.09624,52.48261,35,6,100,102,26,65
1668455918,"2022-11-14 19:58:38",32,82,88.08533,48.330074,36,7,105,97,24,60
1668455978,"2022-11-14 19:59:38",31,82,65.00968,46.357872,34,7,75,93,23,57
1668456038,"2022-11-14 20:00:38",32,81,45.20601,43.21483,36,6,45,86,23,57
1668456098,"2022-11-14 20:01:38",33,82,60.53684,44.446632,36,7,68,89,24,60
1668456158,"2022-11-14 20:02:38",32,82,112.89674,40.5835,35,7,121,81,15,37
1668456218,"2022-11-14 20:03:38",32,83,65.58714,40.81645,35,7,76,82,20,50
1668456278,"2022-11-14 20:04:38",33,83,93.178444,48.241444,36,7,108,96,24,60
1668456338,"2022-11-14 20:05:38",33,82,71.87401,54.441822,36,7,86,104,31,77
1668456398,"2022-11-14 20:06:38",32,83,83.27586,42.78111,36,7,102,86,20,50
1668456458,"2022-11-14 20:07:38",32,83,119.523186,39.348732,36,7,125,79,14,36
1668456518,"2022-11-14 20:08:38",30,82,75.90437,48.167984,33,7,93,96,22,55
1668456578,"2022-11-14 20:09:38",30,82,89.19592,41.20958,33,7,106,82,17,43
1668456638,"2022-11-14 20:10:38",30,82,72.80056,47.444237,33,7,88,95,25,62
1668456698,"2022-11-14 20:11:38",30,80,89.83687,56.69655,32,6,106,107,29,73
1668456758,"2022-11-14 20:12:38",30,81,66.12133,47.43286,32,6,77,95,23,57
1668456818,"2022-11-14 20:13:38",30,0,,,32,0,0,0,,
1668456878,"2022-11-14 20:14:38",28,81,59.167774,53.94655,30,6,65,104,31,78
1668456938,"2022-11-14 20:15:38",29,81,55.07344,54.07344,31,6,58,104,31,78
1668456998,"2022-11-14 20:16:38",29,81,70.83287,56.671112,30,6,85,107,31,78
1668457058,"2022-11-14 20:17:38",30,80,45.51642,44.51642,32,6,46,89,23,58
1668457118,"2022-11-14 20:18:38",25,80,54.02699,34.984062,26,6,57,70,14,35
1668457178,"2022-11-14 20:19:38",26,81,78.93082,51.1828,26,6,98,101,28,70
1668457238,"2022-11-14 20:20:38",26,81,68.92649,46.057644,26,6,82,92,23,57
1668457298,"2022-11-14 20:21:38",26,81,,50.10977,27,6,0,100,22,54
1668457356,"2022-11-14 20:22:36",25,80,66.46369,50.19306,26,6,77,100,27,67
1668457416,"2022-11-14 20:23:36",26,81,57.834625,42.841194,27,6,63,86,21,52
1668457596,"2022-11-14 20:26:36",0,84,107.4137,41.469284,0,7,117,83,18,45
1668457656,"2022-11-14 20:27:36",28,0,,,29,0,0,0,,
1668457718,"2022-11-14 20:28:38",0,84,,,0,7,0,0,,
1668457778,"2022-11-14 20:29:38",25,83,56.332638,48.81089,25,7,61,98,25,64
1668457838,"2022-11-14 20:30:38",26,82,84.73153,46.794144,26,7,103,94,22,54
1668457898,"2022-11-14 20:31:38",25,84,76.36943,52.19076,25,7,94,102,26,66
1668457958,"2022-11-14 20:32:38",26,83,65.24508,54.15442,26,7,75,104,29,73
1668458018,"2022-11-14 20:33:38",24,84,92.17668,52.49253,24,7,108,102,27,67
1668458074,"2022-11-14 20:34:34",24,84,66.34226,47.530914,24,7,77,95,24,60
1668458134,"2022-11-14 20:35:34",24,83,41.865845,40.865845,24,7,42,82,20,49
1668458194,"2022-11-14 20:36:34",24,82,89.747154,48.65812,24,7,106,97,23,59
1668458259,"2022-11-14 20:37:39",24,83,72.53662,53.05873,24,7,88,103,27,68
1668458319,"2022-11-14 20:38:39",22,83,124.10623,46.82688,22,7,128,94,21,53
1668458379,"2022-11-14 20:39:39",22,83,,,22,7,0,0,,
1668458439,"2022-11-14 20:40:39",22,82,51.927124,50.927124,21,7,53,101,28,70
1668458499,"2022-11-14 20:41:39",22,83,106.26049,40.055862,21,7,116,80,13,32
1668458559,"2022-11-14 20:42:39",22,82,74.807976,40.358276,21,7,91,81,17,43
1668458619,"2022-11-14 20:43:39",21,82,53.890446,47.52392,20,7,56,95,23,59
1668458679,"2022-11-14 20:44:39",21,83,36.11283,35.11283,20,7,36,70,12,30
1668458739,"2022-11-14 20:45:39",22,82,48.181164,42.626556,21,7,48,85,21,52
1668458799,"2022-11-14 20:46:39",22,83,47.57545,42.32337,21,7,48,85,20,50
1668458859,"2022-11-14 20:47:39",21,81,49.705837,44.852253,20,6,50,90,24,61
1668458919,"2022-11-14 20:48:39",21,83,65.9281,49.380447,19,7,77,99,28,70
1668458979,"2022-11-14 20:49:39",22,81,60.826973,31.572083,21,6,68,63,10,26
1668459039,"2022-11-14 20:50:39",22,82,54.08116,46.196594,20,7,57,92,24,59
1668459099,"2022-11-14 20:51:39",22,83,80.3912,52.42701,21,7,100,102,28,70
1668459159,"2022-11-14 20:52:39",23,0,,,22,0,0,0,,
1668459218,"2022-11-14 20:53:38",23,0,,,23,0,0,0,,
1668459278,"2022-11-14 20:54:38",24,86,61.21838,42.215145,24,7,69,84,22,54
1668459338,"2022-11-14 20:55:38",23,86,57.02975,43.254677,22,7,62,87,19,47
1668459398,"2022-11-14 20:56:38",23,85,64.004654,46.695885,22,7,73,93,23,56
1668459458,"2022-11-14 20:57:38",23,87,51.89363,44.3807,22,7,53,89,23,58
1668459518,"2022-11-14 20:58:38",23,87,107.36174,40.19632,22,7,117,80,14,35
1668459578,"2022-11-14 20:59:38",22,88,83.48283,53.02204,21,7,102,103,26,65
1668459638,"2022-11-14 21:00:38",21,88,48.611618,42.93273,20,7,49,86,20,51
1668459698,"2022-11-14 21:01:38",22,86,65.30728,53.6756,21,7,76,104,32,79
1668459758,"2022-11-14 21:02:38",21,87,61.836708,39.515594,20,7,70,79,15,38
1668459818,"2022-11-14 21:03:38",22,86,86.477936,56.90901,21,7,104,107,31,79
1668459878,"2022-11-14 21:04:38",22,85,68.71032,45.769753,21,7,81,92,22,54
1668459938,"2022-11-14 21:05:38",22,87,75.956894,61.724754,21,7,93,112,39,97
1668459998,"2022-11-14 21:06:38",22,87,81.092766,42.967976,21,7,101,86,21,52
1668460058,"2022-11-14 21:07:38",22,85,52.702133,41.30163,21,7,55,83,20,50
1668460118,"2022-11-14 21:08:38",21,86,70.79695,53.819626,20,7,85,104,29,72
1668460178,"2022-11-14 21:09:38",21,85,59.505333,48.797028,20,7,66,98,23,57
1668460238,"2022-11-14 21:10:38",21,86,50.974583,45.035145,20,7,52,90,22,54
1668460298,"2022-11-14 21:11:38",21,84,57.234882,49.97814,20,7,62,100,28,71
1668460358,"2022-11-14 21:12:38",22,84,59.88356,47.096443,21,7,66,94,25,61
1668460418,"2022-11-14 21:13:38",21,84,89.99193,41.770058,20,7,106,84,17,43
1668460478,"2022-11-14 21:14:38",22,84,85.2933,55.017868,21,7,103,105,29,74
1668460538,"2022-11-14 21:15:38",21,84,66.10262,46.595757,20,7,77,93,21,53
1668460598,"2022-11-14 21:16:38",20,84,66.159515,58.32148,19,7,77,108,32,81
1668460658,"2022-11-14 21:17:38",21,84,61.249493,54.50045,19,7,69,105,31,78
1668460718,"2022-11-14 21:18:38",21,83,44.834164,43.40934,19,7,45,87,23,57
1668460778,"2022-11-14 21:19:38",19,85,55.054424,53.219215,18,7,58,103,29,72
1668460838,"2022-11-14 21:20:38",19,84,63.926125,49.16423,18,7,73,98,23,58
1668460898,"2022-11-14 21:21:38",20,84,60.862045,56.544006,19,7,68,107,32,81
1668460958,"2022-11-14 21:22:38",20,82,54.75807,53.75807,19,7,58,104,32,81
1668461018,"2022-11-14 21:23:38",19,83,68.30862,45.33157,18,7,81,91,21,52
1668461078,"2022-11-14 21:24:38",19,82,62.283657,44.13248,18,7,70,88,18,46
1668461138,"2022-11-14 21:25:38",18,82,69.67262,44.389442,17,7,83,89,20,51
1668461198,"2022-11-14 21:26:38",20,81,96.21826,44.31637,19,6,110,89,19,46
1668461258,"2022-11-14 21:27:38",20,81,77.300064,51.63552,19,6,96,102,25,63
1668461318,"2022-11-14 21:28:38",21,83,76.12808,47.61762,19,7,94,95,22,55
1668461378,"2022-11-14 21:29:38",0,83,83.72725,46.925926,0,7,102,94,21,54
1668461438,"2022-11-14 21:30:38",20,84,58.963085,57.963085,19,7,65,108,34,84
1668461498,"2022-11-14 21:31:38",20,84,71.281105,56.422165,19,7,85,106,29,73
1668461558,"2022-11-14 21:32:38",20,85,56.894913,55.894913,19,7,61,106,31,78
1668461618,"2022-11-14 21:33:38",20,83,65.95231,48.827698,19,7,77,98,24,61
1668461678,"2022-11-14 21:34:38",20,83,79.96057,52.57051,19,7,100,103,27,68
1668461738,"2022-11-14 21:35:38",20,83,74.70625,45.880283,19,7,91,92,20,51
1668461798,"2022-11-14 21:36:38",20,84,63.67762,52.610394,19,7,73,103,29,74
1668461858,"2022-11-14 21:37:38",20,83,56.043198,44.768333,19,7,60,90,21,51
1668461918,"2022-11-14 21:38:38",20,84,47.513306,35.115276,19,7,48,70,15,37
1668461978,"2022-11-14 21:39:38",0,81,64.051575,44.4684,0,6,73,89,21,51
1668462038,"2022-11-14 21:40:38",19,83,67.64986,49.598404,18,7,79,99,23,59
1668462098,"2022-11-14 21:41:38",18,82,91.87402,62.637596,17,7,107,113,35,88
1668462158,"2022-11-14 21:42:38",19,0,,,18,0,0,0,,
1668462218,"2022-11-14 21:43:38",18,82,53.05535,52.05535,17,7,55,102,28,70
1668462278,"2022-11-14 21:44:38",18,82,68.716194,54.100784,16,7,81,104,30,76
1668462338,"2022-11-14 21:45:38",18,82,46.37599,45.37599,17,7,46,91,23,57
1668462398,"2022-11-14 21:46:38",18,82,,,17,7,0,0,,
1668462458,"2022-11-14 21:47:38",0,0,55.788677,47.510033,0,0,60,95,26,64
1668462518,"2022-11-14 21:48:38",18,0,,,17,0,0,0,,
1668462578,"2022-11-14 21:49:38",0,82,66.70003,44.209225,0,7,78,88,20,49
1668462638,"2022-11-14 21:50:38",17,82,,,16,7,0,0,,
1668462698,"2022-11-14 21:51:38",18,81,83.80553,51.312992,16,6,102,101,24,61
1668462756,"2022-11-14 21:52:36",18,81,,,17,6,0,0,,
1668462758,"2022-11-14 21:52:38",0,0,66.697495,48.859016,0,0,78,98,24,59
1668462816,"2022-11-14 21:53:36",0,0,,,0,0,0,0,31,77
1668462818,"2022-11-14 21:53:38",18,0,,,17,0,0,0,,
1668462878,"2022-11-14 21:54:38",17,81,,,16,6,0,0,,
1668462938,"2022-11-14 21:55:38",19,0,91.23099,51.50772,18,0,107,102,25,63
1668462998,"2022-11-14 21:56:38",17,83,67.58263,53.7591,16,7,79,104,28,70
1668463058,"2022-11-14 21:57:38",19,83,48.54451,47.54451,18,7,49,95,25,63
1668463118,"2022-11-14 21:58:38",19,83,65.981,54.984207,18,7,77,105,29,73
1668463779,"2022-11-14 22:09:39",0,82,85.063644,52.57357,0,7,103,103,26,66
1668463899,"2022-11-14 22:11:39",17,82,91.57782,52.689213,16,7,107,103,25,64
1668463959,"2022-11-14 22:12:39",17,0,,,16,0,0,0,,
1668464019,"2022-11-14 22:13:39",16,84,75.28709,52.644405,15,7,92,103,25,63
1668464079,"2022-11-14 22:14:39",16,0,,,15,0,0,0,,
1668464199,"2022-11-14 22:16:39",16,82,69.862175,53.11998,15,7,83,103,28,70
1668464259,"2022-11-14 22:17:39",17,79,87.76529,51.99681,16,6,105,102,25,63
1668464319,"2022-11-14 22:18:39",16,80,68.44778,55.999504,15,6,81,106,31,77
1668464379,"2022-11-14 22:19:39",17,80,56.88417,44.01231,16,6,61,88,20,51
1668464439,"2022-11-14 22:20:39",15,79,146.5293,61.734844,14,6,142,112,28,71
1668464499,"2022-11-14 22:21:39",15,80,53.921745,52.921745,14,6,57,103,34,84
1668464559,"2022-11-14 22:22:39",16,80,53.46956,52.46956,15,6,56,102,29,72
1668464619,"2022-11-14 22:23:39",17,82,76.14172,41.175255,16,7,94,82,18,46
1668464679,"2022-11-14 22:24:39",17,82,78.3985,47.411064,16,7,97,95,21,52
1668465219,"2022-11-14 22:33:39",16,80,78.1976,54.9383,15,6,97,105,28,71
1668465279,"2022-11-14 22:34:39",16,81,52.360924,49.5273,15,6,54,99,25,63
1668465339,"2022-11-14 22:35:39",15,79,76.5841,54.166527,14,6,94,104,27,68
1668465399,"2022-11-14 22:36:39",15,80,104.61235,51.96686,14,6,115,102,24,60
1668465459,"2022-11-14 22:37:39",15,79,90.49112,58.15264,14,6,107,108,31,77
1668465519,"2022-11-14 22:38:39",15,79,73.56569,58.173256,14,6,89,108,31,77
1668465579,"2022-11-14 22:39:39",15,80,82.167,58.653214,14,6,101,109,32,80
1668465639,"2022-11-14 22:40:39",15,80,65.990715,62.23462,14,6,77,112,37,92
1668465699,"2022-11-14 22:41:39",15,78,63.28434,52.86805,14,6,72,103,28,71
1668465759,"2022-11-14 22:42:39",14,79,69.57968,58.436485,13,6,83,108,33,83
1668465819,"2022-11-14 22:43:39",14,79,59.624332,51.90592,14,6,66,102,26,66
1668465879,"2022-11-14 22:44:39",15,81,74.52403,51.833652,14,6,91,102,25,62
1668465939,"2022-11-14 22:45:39",15,80,73.71567,56.80516,14,6,90,107,31,77
1668465999,"2022-11-14 22:46:39",17,81,63.121063,46.745758,16,6,72,93,21,53
1668466059,"2022-11-14 22:47:39",16,80,59.61239,53.71662,15,6,66,104,32,79
1668466119,"2022-11-14 22:48:39",16,81,66.37922,55.01912,15,6,77,105,29,72
1668466179,"2022-11-14 22:49:39",16,82,59.16941,58.16941,15,7,65,108,34,86
1668466239,"2022-11-14 22:50:39",16,81,55.38131,43.1978,15,6,59,86,20,49
1668466299,"2022-11-14 22:51:39",15,81,70.82869,53.73712,14,6,85,104,29,71
1668466359,"2022-11-14 22:52:39",16,80,77.1165,46.156593,15,6,95,92,20,50
1668466419,"2022-11-14 22:53:39",16,81,70.02443,53.145893,15,6,83,103,27,68
