timestamp,date,latitude,longitude
1667250895,"2022-10-31 21:14:55",46.747406,-117.150229
1667250898,"2022-10-31 21:14:58",46.747315,-117.15027
1667250901,"2022-10-31 21:15:01",46.747195,-117.150341
1667250903,"2022-10-31 21:15:03",46.747083,-117.150254
1667250905,"2022-10-31 21:15:05",46.746991,-117.150085
1667250907,"2022-10-31 21:15:07",46.747066,-117.149897
1667250908,"2022-10-31 21:15:08",46.747167,-117.149794
1667250910,"2022-10-31 21:15:10",46.747185,-117.149645
1667250913,"2022-10-31 21:15:13",46.747216,-117.14948
1667250949,"2022-10-31 21:15:49",46.747118,-117.149468
1667251037,"2022-10-31 21:17:17",46.747026,-117.149453
1667251095,"2022-10-31 21:18:15",46.746955,-117.149552
1667251103,"2022-10-31 21:18:23",46.746991,-117.149553
1667251181,"2022-10-31 21:19:41",46.747031,-117.14948
1667252981,"2022-10-31 21:49:41",46.747031,-117.14948
1667253127,"2022-10-31 21:52:07",46.747051,-117.149513
1667253136,"2022-10-31 21:52:16",46.747051,-117.149513
1667253141,"2022-10-31 21:52:21",46.747031,-117.14948
1667253145,"2022-10-31 21:52:25",46.747051,-117.149513
1667253150,"2022-10-31 21:52:30",46.74697,-117.14959
1667253152,"2022-10-31 21:52:32",46.746977,-117.149609
1667253153,"2022-10-31 21:52:33",46.747057,-117.149383
1667253155,"2022-10-31 21:52:35",46.74714,-117.149512
1667253157,"2022-10-31 21:52:37",46.74716,-117.149371
1667253161,"2022-10-31 21:52:41",46.747172,-117.149506
1667253174,"2022-10-31 21:52:54",46.747079,-117.149502
1667253247,"2022-10-31 21:54:07",46.747079,-117.149502
1667253251,"2022-10-31 21:54:11",46.74705,-117.149538
1667254121,"2022-10-31 22:08:41",46.747138,-117.149495
1667254123,"2022-10-31 22:08:43",46.747138,-117.149495
1667254127,"2022-10-31 22:08:47",46.747134,-117.149563
1667258061,"2022-10-31 23:14:21",46.747051,-117.149513
1667258070,"2022-10-31 23:14:30",46.747051,-117.149513
1667258148,"2022-10-31 23:15:48",46.747051,-117.149513
1667258152,"2022-10-31 23:15:52",46.747138,-117.149361
1667258154,"2022-10-31 23:15:54",46.747095,-117.149441
1667258155,"2022-10-31 23:15:55",46.74708,-117.149604
1667258157,"2022-10-31 23:15:57",46.74696,-117.149419
1667258167,"2022-10-31 23:16:07",46.74696,-117.149419
1667258168,"2022-10-31 23:16:08",46.747031,-117.149484
1667258192,"2022-10-31 23:16:32",46.747065,-117.149527
1667258199,"2022-10-31 23:16:39",46.747043,-117.149487
1667258203,"2022-10-31 23:16:43",46.747043,-117.149487
1667258227,"2022-10-31 23:17:07",46.747062,-117.149506
1667258231,"2022-10-31 23:17:11",46.747064,-117.149505
1667258238,"2022-10-31 23:17:18",46.747063,-117.149514
1667258243,"2022-10-31 23:17:23",46.747063,-117.149514
1667258246,"2022-10-31 23:17:26",46.747062,-117.149511
1667258254,"2022-10-31 23:17:34",46.747073,-117.149516
1667258264,"2022-10-31 23:17:44",46.747073,-117.149516
1667258272,"2022-10-31 23:17:52",46.747051,-117.149513
1667258273,"2022-10-31 23:17:53",46.747051,-117.149488
1667258278,"2022-10-31 23:17:58",46.74707,-117.149495
1667258283,"2022-10-31 23:18:03",46.747059,-117.149503
1667258290,"2022-10-31 23:18:10",46.747061,-117.149505
1667258300,"2022-10-31 23:18:20",46.747061,-117.149505
1667258316,"2022-10-31 23:18:36",46.747051,-117.149513
1667258318,"2022-10-31 23:18:38",46.74706,-117.149505
1667258321,"2022-10-31 23:18:41",46.747061,-117.149503
1667260121,"2022-10-31 23:48:41",46.747061,-117.149503
